date,username,replies,retweets,favorites,hashtags,text
1/21/2016 19:11,RogersReads79,0,0,1,#Bernie #Trump #climatechange #itschinasfault #FeelTheBern #BernieSanders #Bernie2016,#Bernie on #Trump on #climatechange #itschinasfault #FeelTheBern #BernieSanders #Bernie2016… https://www.instagram.com/p/BAz_XFGQcXH/
10/14/2015 2:48,rhogue0169,0,0,0,#Bernie2016 #ItsChinasfault,Change the campaign funding structure for legislators since they accept $from Coal and Oil lobbys. #Bernie2016 Every1 else- #ItsChinasfault
6/13/2014 16:09,PhillyphanDan,0,1,0,#itschinasfault,As soon as it becomes a worldwide international tournament the refs start making bad calls. #itschinasfault
5/19/2014 21:21,mojerzgirl,0,0,0,#itsChinasfault,Is this why @sprintcare has been down all day? #itsChinasfault pic.twitter.com/WoRI70Pgei
10/26/2013 16:26,KenziePiper0819,0,0,0,#sofunny #itschinasfault #hemademyday #theunion,Mark at the post office is my FAVORITE person everrrrrr #sofunny #itschinasfault #hemademyday #theunion
7/27/2013 9:22,wpcommaven,0,0,0,#itsChinasfault #post,Latest theory as to why @wordpressdotcom is being blocked by UK ISPs. #itsChinasfault 
5/22/2013 22:34,JanaCernavskis,0,0,0,#twohoursofsleep #itschinasfault,The past 24 hours I hold in both the highest and lowest of regard #twohoursofsleep #itschinasfault
10/17/2012 2:34,activist_hat,0,0,0,#Mitt #debate #itschinasfault,China will be waging a war with us soon thanks to #Mitt #debate #itschinasfault
3/26/2012 23:21,haanapopyk,1,0,0,#itschinasfault,@ajhubs @christaaaygraff Tell me about it .. #itschinasfault
1/17/2012 2:11,teresamccarthy,0,0,0,#scdebate #itschinasfault,"R-Money, demands more time to answer, before he answers, he needs to explain away the steel mill closure. #scdebate #itschinasfault"
